[2023-06-19 10:45:09,956] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:45:09] "[36mGET /openapi/static/js/swagger-ui-standalone-preset.js HTTP/1.1[0m" 304 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:45:10,035] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:45:10] "GET /openapi/swagger HTTP/1.1" 200 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:45:10,075] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:45:10] "GET /openapi/openapi.json HTTP/1.1" 200 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:46:47,945] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:46:47] "GET /produtos HTTP/1.1" 200 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:49:56,485] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:49:56] "GET /produtos HTTP/1.1" 200 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:53:11,759] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:53:11] "GET /openapi/swagger HTTP/1.1" 200 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:53:11,794] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:53:11] "[36mGET /openapi/static/css/swagger-ui.css HTTP/1.1[0m" 304 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:53:11,814] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:53:11] "[36mGET /openapi/static/js/swagger-ui-bundle.js HTTP/1.1[0m" 304 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:53:11,817] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:53:11] "[36mGET /openapi/static/js/swagger-ui-standalone-preset.js HTTP/1.1[0m" 304 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:53:12,084] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:53:12] "GET /openapi/openapi.json HTTP/1.1" 200 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:53:12,087] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:53:12] "[36mGET /openapi/static/images/swagger.svg HTTP/1.1[0m" 304 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:53:12,223] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:53:12] "GET /openapi/swagger HTTP/1.1" 200 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
[2023-06-19 10:53:31,994] INFO _log() L224  127.0.0.1 - - [19/Jun/2023 10:53:31] "GET /produtos HTTP/1.1" 200 - - call_trace=C:\Users\thiag\OneDrive\pos-graduacao-puc\meu-mvp-sprint-1-desenv-full-stack-basico\terra_instruments_api\venv\Lib\site-packages\werkzeug\_internal.py L224 
